Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.003200
0.010000 , 0.000108 , 0.003200
0.020000 , 0.000253 , 0.003200
0.030000 , 0.000253 , 0.003200
0.040000 , 0.000441 , 0.003200
0.050000 , 0.000569 , 0.004800
0.060000 , 0.000742 , 0.003200
0.070000 , 0.000934 , 0.003200
0.080000 , 0.000998 , 0.003200
0.090000 , 0.001135 , 0.004800
0.100000 , 0.001432 , 0.003200
0.110000 , 0.001500 , 0.003200
0.120000 , 0.001516 , 0.006400
0.130000 , 0.002121 , 0.003200
0.140000 , 0.002398 , 0.004800
0.150000 , 0.002723 , 0.003200
0.160000 , 0.002655 , 0.004800
0.170000 , 0.003573 , 0.003200
0.180000 , 0.003545 , 0.003200
0.190000 , 0.003866 , 0.004800
0.200000 , 0.004756 , 0.004800
0.210000 , 0.005269 , 0.006400
0.220000 , 0.005778 , 0.008000
0.230000 , 0.006011 , 0.006400
0.240000 , 0.006432 , 0.003200
0.250000 , 0.007543 , 0.014400
0.260000 , 0.009436 , 0.003200
0.270000 , 0.009552 , 0.004800
0.280000 , 0.011850 , 0.009600
0.290000 , 0.013217 , 0.008000
0.300000 , 0.014260 , 0.008000
0.310000 , 0.015924 , 0.006400
0.320000 , 0.018570 , 0.009600
0.330000 , 0.020720 , 0.009600
0.340000 , 0.023791 , 0.003200
0.350000 , 0.028952 , 0.009600
0.360000 , 0.032830 , 0.008000
0.370000 , 0.039695 , 0.044800
0.380000 , 0.042675 , 0.012800
0.390000 , 0.054452 , 0.025600
0.400000 , 0.063623 , 0.025600
0.410000 , 0.074959 , 0.033600
0.420000 , 0.093017 , 0.027200
0.430000 , 0.109201 , 0.009600
0.440000 , 0.133474 , 0.035200
0.450000 , 0.161684 , 0.064000
0.460000 , 0.187264 , 0.022400
0.470000 , 0.242250 , 0.043200
0.480000 , 0.269963 , 0.003200
0.490000 , 0.311386 , 0.003200
0.500000 , 0.364716 , 0.017600
0.510000 , 0.430609 , 0.052800
0.520000 , 0.466947 , 0.081600
0.530000 , 0.545873 , 0.056000
0.540000 , 0.609087 , 0.049600
0.550000 , 0.666875 , 0.041600
0.560000 , 0.696569 , 0.004800
0.570000 , 0.745841 , 0.048000
0.580000 , 0.784201 , 0.051200
0.590000 , 0.812367 , 0.054400
0.600000 , 0.837518 , 0.044800
0.610000 , 0.863904 , 0.041600
0.620000 , 0.852728 , 0.048000
0.630000 , 0.895571 , 0.041600
0.640000 , 0.915785 , 0.043200
0.650000 , 0.929612 , 0.049600
0.660000 , 0.932154 , 0.048000
0.670000 , 0.949073 , 0.040000
0.680000 , 0.948062 , 0.036800
0.690000 , 0.956395 , 0.036800
0.700000 , 0.964828 , 0.036800
0.710000 , 0.971332 , 0.040000
0.720000 , 0.976309 , 0.035200
0.730000 , 0.973237 , 0.038400
0.740000 , 0.980415 , 0.035200
0.750000 , 0.986935 , 0.038400
0.760000 , 0.986258 , 0.038400
0.770000 , 0.982701 , 0.036800
0.780000 , 0.988920 , 0.035200
0.790000 , 0.994430 , 0.036800
0.800000 , 0.992638 , 0.035200
0.810000 , 0.993159 , 0.035200
0.820000 , 0.996628 , 0.035200
0.830000 , 0.997542 , 0.036800
0.840000 , 0.997935 , 0.038400
0.850000 , 0.996431 , 0.035200
0.860000 , 0.998560 , 0.035200
0.870000 , 0.998913 , 0.035200
0.880000 , 0.999118 , 0.035200
0.890000 , 0.999390 , 0.035200
0.900000 , 0.999583 , 0.035200
0.910000 , 0.999631 , 0.035200
0.920000 , 0.999812 , 0.035200
0.930000 , 0.999868 , 0.035200
0.940000 , 0.999880 , 0.035200
0.950000 , 0.999932 , 0.035200
0.960000 , 0.999976 , 0.035200
0.970000 , 0.999976 , 0.035200
0.980000 , 0.999980 , 0.035200
0.990000 , 1.000000 , 0.035200
1.000000 , 1.000000 , 0.035200
Time: 3.599410 seconds
