Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.000400
0.010000 , 0.000007 , 0.000400
0.020000 , 0.000013 , 0.000400
0.030000 , 0.000020 , 0.000400
0.040000 , 0.000028 , 0.000400
0.050000 , 0.000034 , 0.000400
0.060000 , 0.000048 , 0.000400
0.070000 , 0.000055 , 0.000400
0.080000 , 0.000066 , 0.000400
0.090000 , 0.000078 , 0.000400
0.100000 , 0.000086 , 0.000400
0.110000 , 0.000105 , 0.001000
0.120000 , 0.000119 , 0.000600
0.130000 , 0.000136 , 0.000600
0.140000 , 0.000144 , 0.000400
0.150000 , 0.000162 , 0.001000
0.160000 , 0.000186 , 0.001000
0.170000 , 0.000213 , 0.000400
0.180000 , 0.000230 , 0.000800
0.190000 , 0.000252 , 0.000600
0.200000 , 0.000294 , 0.000400
0.210000 , 0.000319 , 0.000800
0.220000 , 0.000363 , 0.000400
0.230000 , 0.000399 , 0.000600
0.240000 , 0.000463 , 0.001000
0.250000 , 0.000504 , 0.000400
0.260000 , 0.000558 , 0.002000
0.270000 , 0.000633 , 0.001200
0.280000 , 0.000718 , 0.001800
0.290000 , 0.000819 , 0.001000
0.300000 , 0.000920 , 0.000800
0.310000 , 0.001045 , 0.000800
0.320000 , 0.001125 , 0.000600
0.330000 , 0.001356 , 0.000400
0.340000 , 0.001603 , 0.001200
0.350000 , 0.001915 , 0.000600
0.360000 , 0.002327 , 0.000800
0.370000 , 0.002666 , 0.000800
0.380000 , 0.003172 , 0.000400
0.390000 , 0.003998 , 0.002600
0.400000 , 0.005046 , 0.004800
0.410000 , 0.006362 , 0.000600
0.420000 , 0.008717 , 0.001600
0.430000 , 0.011115 , 0.001400
0.440000 , 0.015497 , 0.007000
0.450000 , 0.024563 , 0.013200
0.460000 , 0.037822 , 0.007400
0.470000 , 0.065209 , 0.013400
0.480000 , 0.105013 , 0.008600
0.490000 , 0.176926 , 0.023000
0.500000 , 0.280259 , 0.001000
0.510000 , 0.406299 , 0.029200
0.520000 , 0.524465 , 0.038400
0.530000 , 0.623893 , 0.022600
0.540000 , 0.692488 , 0.037200
0.550000 , 0.748314 , 0.023400
0.560000 , 0.788611 , 0.022200
0.570000 , 0.827929 , 0.021200
0.580000 , 0.849464 , 0.019400
0.590000 , 0.869305 , 0.022200
0.600000 , 0.888474 , 0.018800
0.610000 , 0.901854 , 0.019600
0.620000 , 0.917752 , 0.019200
0.630000 , 0.926781 , 0.017400
0.640000 , 0.937011 , 0.017200
0.650000 , 0.948102 , 0.017400
0.660000 , 0.954808 , 0.019400
0.670000 , 0.960199 , 0.017000
0.680000 , 0.964482 , 0.018800
0.690000 , 0.967123 , 0.017800
0.700000 , 0.976006 , 0.016600
0.710000 , 0.977837 , 0.000400
0.720000 , 0.982345 , 0.016400
0.730000 , 0.983289 , 0.016400
0.740000 , 0.985441 , 0.016600
0.750000 , 0.989408 , 0.017200
0.760000 , 0.990384 , 0.016400
0.770000 , 0.993407 , 0.016600
0.780000 , 0.994547 , 0.017000
0.790000 , 0.995204 , 0.016400
0.800000 , 0.996564 , 0.016400
0.810000 , 0.997018 , 0.016400
0.820000 , 0.997605 , 0.016400
0.830000 , 0.997931 , 0.016400
0.840000 , 0.998595 , 0.016400
0.850000 , 0.998619 , 0.016400
0.860000 , 0.999398 , 0.016400
0.870000 , 0.999345 , 0.016400
0.880000 , 0.999265 , 0.016400
0.890000 , 0.999762 , 0.016400
0.900000 , 0.999830 , 0.016400
0.910000 , 0.999886 , 0.016400
0.920000 , 0.999926 , 0.016400
0.930000 , 0.999955 , 0.016400
0.940000 , 0.999974 , 0.016400
0.950000 , 0.999986 , 0.016400
0.960000 , 0.999993 , 0.016400
0.970000 , 0.999998 , 0.016400
0.980000 , 0.999999 , 0.016400
0.990000 , 1.000000 , 0.016400
1.000000 , 1.000000 , 0.016400
Time: 989.229188 seconds
